author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
avvaiyaar,அமுதும்‌ அன்பும்‌!,15,15,1.0,7.6,2.184795948,15,0,0.0,4.565674279,6.366472728,6.79122668,29,0.162962963,4.2,3.75,4,4,0.0,0.0,0.75,0,0,0.0,70.0,Sad,Negative
avvaiyaar,அழகு எது,18,16,0.888888889,6.166666667,2.967415636,14,0,0.0,4.356230759,5.965839062,6.477451426,24,0.136690647,3.611111111,4.5,4,4,0.0,0.0,0.75,0,0,0.0,64.0,Happy,Positive
avvaiyaar,ஆரையடா,15,15,1.0,7.0,2.12916259,15,0,0.0,4.527814528,6.359588785,6.780730383,26,0.111111111,3.866666667,3.75,4,4,0.0,0.0,0.75,0,0,0.0,70.0,Sad,Neutral
avvaiyaar,இடம்‌ எங்கே,15,15,1.0,7.733333333,2.694851058,15,0,0.0,4.348382389,5.967278971,6.424674425,25,0.169014085,4.066666667,3.75,4,4,0.0,0.0,0.75,0,3,0.0,70.0,Sad,Negative
avvaiyaar,இன்றுபோல்‌ என்றும்‌ இரும்‌!,15,15,1.0,7.8,2.343786111,15,0,0.0,4.443196661,6.100574652,6.657602519,27,0.171232877,4.266666667,3.75,4,4,0.0,0.0,0.75,0,0,0.0,70.0,Happy,Positive
avvaiyaar,உயிர் வருக்கம்,29,29,1.0,6.137931034,1.833108119,29,0,0.0,4.517689303,6.365077861,7.068693678,32,0.169902913,3.75862069,2.230769231,13,13,0.0,0.0,1.0,0,4,0.0,42.0,Happy,Positive
avvaiyaar,உயிர்மெய் வருக்கம்,45,42,0.933333333,5.6,1.611072796,39,0,0.022222222,4.564984689,6.760687108,7.507794813,33,0.192567568,3.333333333,2.5,18,18,0.0,0.111111111,1.0,0,0,0.0,10.0,Happy,Positive
avvaiyaar,என்ன செல்வம்‌,16,16,1.0,8.5625,2.645012996,16,0,0.0,4.548915587,6.273036596,6.781414443,27,0.167701863,4.4375,4.0,4,4,0.0,0.0,0.75,1,0,0.0,68.0,Sad,Negative
avvaiyaar,என்றும்‌ கிழியாது!,15,15,1.0,9.2,2.072036036,15,0,0.0,4.515993399,6.284993643,6.777999197,29,0.221556886,4.933333333,3.75,4,4,0.0,0.0,0.75,1,0,0.0,70.0,Happy,Positive
avvaiyaar,என்‌ உள்ளம்‌!,15,15,1.0,8.266666667,2.719477074,15,0,0.0,4.263811468,5.951902485,6.538903851,25,0.212903226,4.533333333,3.75,4,4,0.0,0.0,0.75,0,1,0.0,70.0,Happy,Positive
avvaiyaar,எல்லார்க்கும்‌ எளிது!,15,15,1.0,9.6,2.303620339,15,1,0.066666667,4.503980443,6.435364113,7.025175532,28,0.183431953,5.133333333,3.75,4,4,0.0,0.0,0.75,1,0,0.0,70.0,Happy,Positive
avvaiyaar,ஓங்கும்‌ கோவலூா!,16,16,1.0,7.5,1.870828693,16,0,0.0,4.571405475,6.325591234,6.830742259,29,0.136054422,4.125,4.0,4,4,0.0,0.0,0.75,0,0,0.0,68.0,Happy,Positive
avvaiyaar,ககர வருக்கம்,24,22,0.916666667,6.125,1.899835519,20,0,0.0,4.421616975,6.300027787,6.868412587,27,0.164705882,3.541666667,2.0,12,12,0.0,0.166666667,1.0,0,1,0.0,52.0,Happy,Positive
avvaiyaar,கடகஞ்‌ செறியாதோ,15,15,1.0,7.6,1.704894914,15,0,0.0,4.536938449,6.366056353,6.838387084,27,0.173913043,4.2,3.75,4,4,0.0,0.0,0.75,1,1,1.0,70.0,Happy,Positive
avvaiyaar,குதிரையும்‌ கிழவியும்‌,18,17,0.944444444,8.388888889,2.40690878,16,0,0.0,4.342778604,6.317681416,6.891518932,25,0.138888889,4.388888889,4.5,4,4,0.0,0.0,0.75,0,0,0.0,64.0,Devotion,Positive
avvaiyaar,சந்நியாசம்‌ கொள்‌!,15,15,1.0,7.266666667,2.322833519,15,0,0.0,4.510133807,6.334423015,6.763186426,28,0.194029851,4.066666667,3.75,4,4,0.0,0.0,0.75,0,0,0.0,70.0,Sad,Negative
avvaiyaar,சாடினாள்‌!,15,15,1.0,7.866666667,2.445858177,15,0,0.066666667,4.409381911,6.075217133,6.577437439,26,0.147887324,4.4,3.75,4,4,0.0,0.0,0.75,1,0,0.0,70.0,Sad,Negative
avvaiyaar,சிற்றாடைக்கு நோ!,15,15,1.0,7.866666667,2.963481436,15,0,0.0,4.544044499,6.115134648,6.728097099,28,0.208333333,4.2,3.75,4,4,0.0,0.0,0.75,2,0,0.0,70.0,Happy,Positive
avvaiyaar,சிலம்பியின்‌ சிலம்பு!,15,15,1.0,7.8,1.6,15,0,0.0,4.587818251,6.21298963,6.616792974,28,0.176056338,4.333333333,3.75,4,4,0.0,0.0,0.75,0,1,0.0,85.0,Happy,Positive
avvaiyaar,சேரலன்‌ வருக!,15,15,1.0,7.933333333,2.351358945,15,0,0.066666667,4.54537255,6.232671598,6.725314973,28,0.149659864,4.533333333,3.75,4,4,0.0,0.0,0.75,2,1,2.0,70.0,Happy,Positive
